chapter,verse,source_ranges,mirror_ranges,local_records,source_sha
8,12,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,13,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,14,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,15,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,16,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,17,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,18,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,19,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,20,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,21,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,22,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,23,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,24,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,25,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,26,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,27,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,28,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,29,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,30,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,31,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,32,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,33,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,34,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,35,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,36,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,37,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,38,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,39,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,40,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,41,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
8,42,1,1,1,4fcac9d073f81d77d8c4d44fb701256fefe7d339
